date,tiktok_followers,tiktok_videos,tiktok_total_views,tiktok_total_likes,lp_visitors,line_registrations
2026-02-21,0,2,0,0,0,0
2026-02-22,0,0,0,0,0,0
2026-02-23,0,0,0,0,0,0
2026-02-24,0,0,0,0,0,0
2026-02-25,0,0,0,0,0,0
2026-02-26,0,0,0,0,0,0
2026-02-27,0,0,0,0,0,0
2026-02-28,0,0,0,0,0,0
2026-03-01,0,0,0,0,0,0
2026-03-02,0,0,0,0,0,0
2026-03-03,0,0,0,0,0,0
2026-03-04,0,0,0,0,0,0
2026-03-05,0,0,0,0,0,0
2026-03-06,0,0,0,0,0,0
2026-03-07,0,0,0,0,0,0
2026-03-08,0,0,0,0,0,0
2026-03-09,0,0,0,0,0,0
2026-03-10,0,0,0,0,0,0
2026-03-11,0,0,0,0,0,0
2026-03-12,0,0,0,0,0,0
2026-03-13,0,0,0,0,0,0
2026-03-14,0,0,0,0,0,0
2026-03-15,0,0,0,0,0,0
2026-03-16,0,0,0,0,0,0
2026-03-17,0,0,0,0,0,0
2026-03-18,4,6,0,13,0,0
2026-03-19,4,6,0,13,0,0
2026-03-20,4,6,0,13,0,0
2026-03-21,4,6,0,13,0,0
2026-03-22,4,6,0,13,0,0
2026-03-23,4,7,0,19,0,0
2026-03-24,4,6,0,13,0,0
2026-03-25,4,6,0,13,0,0
2026-03-26,4,6,0,13,0,0
2026-03-27,4,6,0,13,0,0
2026-03-28,4,6,0,13,0,0
2026-03-29,4,6,0,13,0,0
2026-03-30,4,6,0,13,0,0
2026-03-31,4,6,0,13,0,0
2026-04-01,4,6,0,13,0,0
2026-04-02,4,6,0,13,0,0
2026-04-03,4,6,0,13,0,0
2026-04-04,4,6,0,13,0,0
2026-04-05,4,6,0,13,0,0
2026-04-06,4,6,0,13,0,0
2026-04-07,4,6,0,13,0,0
2026-04-08,4,6,0,13,0,0
2026-04-09,4,6,0,13,0,0
2026-04-10,4,6,0,13,0,0
2026-04-11,4,6,0,13,0,0
2026-04-12,4,6,0,13,0,0
2026-04-13,4,6,0,13,0,0
2026-04-14,4,6,0,13,0,0
2026-04-15,4,6,0,13,0,0
2026-04-16,4,6,0,13,0,0
2026-04-17,4,6,0,13,0,0
2026-04-18,4,6,0,13,0,0
2026-04-19,4,6,0,13,0,0
2026-04-20,4,6,0,13,0,0
